Department,Semester,Subject,Assessment Stage,Attendance,SPI,Study Hours,Backlogs,Mid1,Mid2,Expected Grade,Pass,Performance Category
Computer Engineering,1,Engineering Graphics & Design,After Mid-1,75.5,7.68,23.9,0,7.0,,BB,1,Very Good
Computer Engineering,4,Discrete Mathematics,After Mid-2,83.8,4.45,14.7,2,3.5,6.2,FF,0,At Risk
Computer Engineering,1,Mathematics-1,After Mid-2,70.7,6.4,17.1,1,5.7,12.6,BC,1,Good
Electronics & Communication,3,Network Theory,After Mid-2,84.6,7.39,22.6,2,5.4,13.1,BC,1,Good
Computer Engineering,3,Effective Technical Communication,Before Mid-1,86.0,8.97,25.2,0,,,AA,1,Excellent
Electronics & Communication,1,Mathematics-1,After Mid-1,76.1,8.44,17.9,0,8.2,,AB,1,Excellent
Information Technology,2,Programming for Problem Solving,Before Mid-1,87.3,6.94,24.0,0,,,BB,1,Very Good
Computer Engineering,1,Engineering Graphics & Design,Before Mid-1,86.2,8.63,19.0,1,,,AB,1,Excellent
Mechanical Engineering,7,Refrigeration & Air Conditioning,Before Mid-1,81.1,7.38,28.0,1,,,BB,1,Very Good
Mechanical Engineering,3,Kinematics of Machines,Before Mid-1,76.8,5.71,19.0,0,,,BC,1,Good
Mechanical Engineering,5,Internal Combustion Engines,Before Mid-1,80.4,7.1,26.1,0,,,AB,1,Excellent
Electrical Engineering,5,Microprocessor & Microcontroller,After Mid-2,97.3,9.04,24.4,0,8.4,18.1,AA,1,Excellent
Computer Engineering,6,Agile Software Development,After Mid-1,81.5,7.43,15.2,1,9.0,,BB,1,Very Good
Mechanical Engineering,3,Material Science & Metallurgy,After Mid-2,74.2,4.89,18.1,2,4.2,9.5,DD,1,At Risk
Civil Engineering,3,Fluid Mechanics,After Mid-1,87.3,10.0,33.6,0,8.2,,AA,1,Excellent
Mechanical Engineering,6,Production Technology,After Mid-1,81.8,5.82,16.9,0,5.0,,BC,1,Good
Computer Engineering,7,Cloud Computing,Before Mid-1,69.0,5.52,18.0,1,,,CD,1,Average
Information Technology,2,English,Before Mid-1,83.5,8.21,21.5,0,,,AB,1,Excellent
Computer Engineering,6,Data Analysis & Visualization,After Mid-1,90.2,9.24,28.3,0,9.0,,AA,1,Excellent
Computer Engineering,8,Internet of Things,After Mid-1,72.9,6.05,18.7,0,5.7,,BC,1,Good
Information Technology,2,Mathematics-2,Before Mid-1,66.8,6.65,25.3,0,,,BC,1,Good
Civil Engineering,2,Environmental Sciences,After Mid-2,76.7,5.75,15.6,1,4.5,6.4,CC,1,Average
Civil Engineering,2,Mathematics-2,After Mid-1,71.4,6.3,24.0,0,5.5,,BC,1,Good
Mechanical Engineering,2,Environmental Sciences,After Mid-2,75.9,6.16,21.4,1,6.3,10.5,BC,1,Good
Information Technology,2,Mathematics-2,Before Mid-1,81.0,7.93,29.9,0,,,BB,1,Very Good
Mechanical Engineering,7,Project-1,After Mid-1,83.1,4.85,23.9,2,2.6,,DD,1,At Risk
Mechanical Engineering,3,Manufacturing Processes-1,Before Mid-1,94.6,8.54,22.3,0,,,AA,1,Excellent
Information Technology,6,Web Technology,After Mid-2,85.9,7.99,25.9,0,7.5,16.0,AB,1,Excellent
Information Technology,5,Formal Languages & Automata Theory,Before Mid-1,82.5,7.61,23.8,0,,,AB,1,Excellent
Information Technology,1,Mathematics-1,After Mid-1,88.3,7.82,25.7,0,9.5,,AA,1,Excellent
Information Technology,4,Object Oriented Programming - Java,After Mid-2,80.8,5.95,19.7,0,6.3,12.9,BC,1,Good
Electrical Engineering,7,Smart Grid Technology,After Mid-1,97.0,7.72,26.4,0,8.2,,AB,1,Excellent
Computer Engineering,1,Engineering Graphics & Design,After Mid-2,85.2,8.45,23.6,0,7.1,13.7,AB,1,Excellent
Mechanical Engineering,1,Physics,After Mid-2,82.6,7.14,27.7,0,6.9,12.2,BB,1,Very Good
Computer Engineering,5,Computer Networks,After Mid-1,100.0,7.33,21.4,1,7.0,,BB,1,Very Good
Information Technology,7,Project-1,After Mid-2,89.4,6.32,17.7,0,5.8,10.7,BC,1,Good
Electronics & Communication,6,Digital Signal Processing,After Mid-1,85.3,4.9,16.2,3,3.3,,FF,0,At Risk
Mechanical Engineering,1,Engineering Graphics & Design,After Mid-2,55.8,5.08,17.7,0,5.4,10.4,CC,1,Average
Computer Engineering,5,Cyber Security,After Mid-1,86.5,8.15,27.7,0,6.6,,AB,1,Excellent
Information Technology,6,Mobile Computing,After Mid-2,95.4,10.0,28.0,0,9.5,18.7,AA,1,Excellent
Computer Engineering,6,Theory of Computation,After Mid-1,86.3,8.51,18.9,0,8.3,,AB,1,Excellent
Civil Engineering,3,Mechanics of Solids,After Mid-1,78.7,5.57,19.3,3,3.9,,FF,0,At Risk
Civil Engineering,2,Programming for Problem Solving,After Mid-1,74.5,8.69,22.4,0,7.5,,AB,1,Excellent
Information Technology,7,Information Retrieval,After Mid-2,95.4,9.33,30.9,1,9.0,15.6,AA,1,Excellent
Computer Engineering,2,Programming for Problem Solving,After Mid-1,90.3,8.0,28.4,0,8.6,,AA,1,Excellent
Civil Engineering,7,Project-1,After Mid-1,84.9,8.64,28.3,0,7.8,,AB,1,Excellent
Information Technology,5,Python Programming,After Mid-2,91.1,6.66,28.2,0,7.6,16.5,AB,1,Excellent
Computer Engineering,1,Environmental Sciences,Before Mid-1,89.3,7.49,25.8,0,,,AA,1,Excellent
Computer Engineering,7,Cloud Computing,After Mid-1,92.1,8.44,25.5,0,9.0,,AA,1,Excellent
Electronics & Communication,3,Network Theory,After Mid-2,87.3,8.93,19.2,1,6.8,11.9,BB,1,Very Good
Electronics & Communication,1,Mathematics-1,After Mid-2,74.1,7.85,30.6,1,6.8,13.0,BB,1,Very Good
Computer Engineering,8,Artificial Intelligence,After Mid-1,82.9,7.47,23.7,0,5.7,,BC,1,Good
Civil Engineering,7,Irrigation Engineering,After Mid-1,92.8,6.28,22.3,2,5.2,,CC,1,Average
Mechanical Engineering,7,Refrigeration & Air Conditioning,Before Mid-1,84.4,8.38,25.2,0,,,AA,1,Excellent
Civil Engineering,4,Structural Analysis-1,After Mid-1,97.6,8.86,26.0,0,7.8,,AB,1,Excellent
Electrical Engineering,1,Basic Electrical Engineering,Before Mid-1,85.1,5.69,18.4,2,,,CC,1,Average
Mechanical Engineering,8,Industrial Engineering,Before Mid-1,79.6,5.27,13.9,1,,,BC,1,Good
Computer Engineering,1,Environmental Sciences,After Mid-2,78.4,8.44,25.5,0,9.2,19.7,AA,1,Excellent
Civil Engineering,5,Structural Analysis-2,After Mid-2,85.0,8.69,23.3,0,5.5,10.3,BB,1,Very Good
Mechanical Engineering,8,Industrial Engineering,After Mid-1,71.6,4.68,17.9,2,5.1,,CC,1,Average
Mechanical Engineering,1,Basic Mechanical Engineering,Before Mid-1,76.5,5.86,20.9,5,,,FF,0,At Risk
Information Technology,6,Web Technology,After Mid-1,100.0,8.62,19.5,0,8.4,,AB,1,Excellent
Computer Engineering,1,Basic Electrical Engineering,After Mid-2,94.4,7.77,23.4,0,6.2,10.4,BB,1,Very Good
Electronics & Communication,1,Basic Electronics,After Mid-2,82.4,6.02,17.3,0,6.5,15.8,BB,1,Very Good
Electrical Engineering,2,Engineering Graphics & Design,After Mid-2,65.6,4.18,14.6,0,2.5,6.1,DD,1,At Risk
Electrical Engineering,2,Mathematics-2,Before Mid-1,65.5,4.83,19.7,2,,,FF,0,At Risk
Mechanical Engineering,3,Material Science & Metallurgy,Before Mid-1,90.9,7.16,22.3,0,,,AB,1,Excellent
Computer Engineering,7,Machine Learning,After Mid-2,94.2,7.87,26.2,0,7.7,16.4,AB,1,Excellent
Electronics & Communication,1,Basic Electrical Engineering,Before Mid-1,88.1,8.45,25.4,0,,,AA,1,Excellent
Computer Engineering,3,Database Management Systems,Before Mid-1,77.2,8.16,24.0,0,,,AB,1,Excellent
Electronics & Communication,1,Basic Electronics,Before Mid-1,87.9,8.64,20.9,0,,,AB,1,Excellent
Information Technology,7,Project-1,After Mid-1,82.7,6.63,14.3,0,7.3,,BB,1,Very Good
Civil Engineering,6,Environmental Engineering,After Mid-1,86.1,8.58,24.5,0,7.0,,AB,1,Excellent
Mechanical Engineering,1,Engineering Graphics & Design,Before Mid-1,80.7,7.42,17.8,2,,,BC,1,Good
Computer Engineering,5,Analysis & Design of Algorithms,After Mid-2,92.4,6.65,16.7,0,5.1,8.4,BC,1,Good
Computer Engineering,5,Cyber Security,After Mid-2,95.3,5.59,14.0,0,6.3,14.7,BC,1,Good
Civil Engineering,8,Construction Project Management,After Mid-2,84.3,7.77,28.8,0,8.8,15.7,AB,1,Excellent
Electronics & Communication,8,Wireless Communication,Before Mid-1,79.1,5.03,14.8,1,,,CD,1,Average
Mechanical Engineering,6,Operations Research,After Mid-2,94.9,8.68,28.4,0,9.1,18.5,AA,1,Excellent
Mechanical Engineering,2,Workshop Practices,After Mid-1,72.2,6.31,20.1,2,5.1,,CC,1,Average
Electronics & Communication,1,Basic Electrical Engineering,After Mid-1,92.9,8.39,22.7,0,7.7,,AB,1,Excellent
Civil Engineering,8,Project-2,After Mid-1,100.0,9.02,27.1,0,8.6,,AA,1,Excellent
Civil Engineering,2,Environmental Sciences,After Mid-2,91.6,8.81,32.6,0,8.2,17.3,AA,1,Excellent
Computer Engineering,3,Database Management Systems,Before Mid-1,74.3,5.76,20.8,1,,,BC,1,Good
Electrical Engineering,5,Electrical Machines-2,After Mid-1,100.0,6.46,19.6,0,5.4,,BC,1,Good
Electrical Engineering,1,Basic Electrical Engineering,After Mid-1,90.0,7.62,21.1,0,8.8,,AB,1,Excellent
Civil Engineering,4,Concrete Technology,After Mid-1,100.0,9.06,28.0,2,9.2,,AB,1,Excellent
Civil Engineering,8,Construction Project Management,After Mid-1,96.0,8.89,27.0,0,7.9,,AB,1,Excellent
Mechanical Engineering,2,Programming for Problem Solving,After Mid-1,78.8,6.19,16.5,0,5.9,,BB,1,Very Good
Mechanical Engineering,3,Manufacturing Processes-1,After Mid-1,73.7,6.63,16.1,0,7.3,,BC,1,Good
Civil Engineering,4,Structural Analysis-1,Before Mid-1,74.3,4.38,14.7,1,,,CD,1,Average
Information Technology,6,Data Warehousing & Mining,After Mid-1,79.5,8.93,27.4,0,6.4,,AB,1,Excellent
Civil Engineering,2,Environmental Sciences,After Mid-2,80.7,6.76,20.6,0,6.9,14.0,BB,1,Very Good
Information Technology,5,Python Programming,After Mid-1,80.4,6.33,20.4,2,6.4,,BC,1,Good
Electronics & Communication,5,Digital Communication,After Mid-1,78.5,5.71,18.8,0,5.2,,CC,1,Average
Electrical Engineering,7,Smart Grid Technology,After Mid-1,83.9,6.85,24.1,2,6.5,,BC,1,Good
Electrical Engineering,3,Electrical Measurements & Instrumentation,After Mid-2,88.9,7.59,23.4,1,6.8,14.2,BB,1,Very Good
Electrical Engineering,2,Engineering Graphics & Design,After Mid-1,81.5,6.1,22.9,2,5.1,,CC,1,Average
Information Technology,7,Project-1,After Mid-2,87.1,8.27,22.9,0,8.6,14.7,AB,1,Excellent
Mechanical Engineering,5,Heat Transfer,After Mid-1,100.0,8.84,18.4,0,9.1,,AA,1,Excellent
Computer Engineering,7,Project-1,Before Mid-1,79.4,7.32,25.9,0,,,AB,1,Excellent
Information Technology,2,English,After Mid-2,76.1,4.98,8.5,2,4.3,8.7,CD,1,Average
Electronics & Communication,3,Digital Electronics,Before Mid-1,89.3,8.09,24.2,0,,,AB,1,Excellent
Computer Engineering,7,Cloud Computing,Before Mid-1,100.0,7.7,24.8,0,,,AB,1,Excellent
Electrical Engineering,7,Project-1,After Mid-2,69.2,6.32,19.4,1,5.5,10.8,CC,1,Average
Information Technology,8,Distributed Systems,Before Mid-1,84.1,6.36,19.5,0,,,BC,1,Good
Electronics & Communication,3,Network Theory,After Mid-1,87.8,7.26,22.1,0,6.6,,BB,1,Very Good
Civil Engineering,5,Hydrology & Water Resources Engg,After Mid-1,86.2,7.33,16.5,0,7.4,,BB,1,Very Good
Electronics & Communication,2,Mathematics-2,After Mid-2,79.2,7.41,30.1,0,5.5,12.6,BB,1,Very Good
Civil Engineering,4,Advanced Surveying,After Mid-1,74.0,6.39,17.6,1,5.2,,CC,1,Average
Electronics & Communication,7,Satellite Communication,After Mid-1,90.7,6.06,25.2,1,5.3,,BC,1,Good
Information Technology,1,Engineering Graphics & Design,After Mid-2,85.6,6.13,23.4,0,7.6,13.1,BB,1,Very Good
Computer Engineering,3,Digital Fundamentals,After Mid-1,73.7,7.4,23.4,0,7.7,,BB,1,Very Good
Information Technology,8,Internet of Things,Before Mid-1,66.3,5.15,17.3,0,,,CC,1,Average
Mechanical Engineering,2,Mathematics-2,After Mid-1,83.5,6.22,14.2,2,3.4,,DD,1,At Risk
Computer Engineering,6,Agile Software Development,Before Mid-1,75.5,5.68,22.7,1,,,BC,1,Good
Computer Engineering,7,Information & Network Security,Before Mid-1,90.1,7.75,19.3,0,,,BB,1,Very Good
Electronics & Communication,6,VLSI Design,Before Mid-1,82.0,7.68,28.8,0,,,AB,1,Excellent
Electronics & Communication,1,Basic Electrical Engineering,After Mid-2,86.1,8.29,25.2,0,8.2,15.7,AB,1,Excellent
Electrical Engineering,5,Electrical Power System-1,Before Mid-1,77.4,6.54,20.7,1,,,BC,1,Good
Computer Engineering,7,Machine Learning,After Mid-2,92.9,10.0,25.7,0,9.5,16.5,AA,1,Excellent
Civil Engineering,4,Concrete Technology,Before Mid-1,64.6,8.34,24.0,0,,,AB,1,Excellent
Computer Engineering,7,Compiler Design,After Mid-1,77.5,5.88,14.7,1,5.5,,CC,1,Average
Computer Engineering,1,Engineering Graphics & Design,After Mid-2,79.4,6.2,17.7,0,5.6,10.2,BC,1,Good
Mechanical Engineering,2,Workshop Practices,After Mid-2,100.0,9.08,23.4,0,8.5,17.9,AA,1,Excellent
Electronics & Communication,1,Basic Electrical Engineering,After Mid-1,74.7,5.32,13.6,2,3.0,,DD,1,At Risk
Electronics & Communication,7,Microwave Engineering,After Mid-1,81.3,6.59,23.5,0,5.2,,BC,1,Good
Electronics & Communication,6,Antenna & Wave Propagation,After Mid-2,87.4,7.08,22.0,0,5.6,9.3,BC,1,Good
Information Technology,3,Effective Technical Communication,Before Mid-1,92.8,8.52,28.3,0,,,AA,1,Excellent
Electronics & Communication,2,Environmental Sciences,After Mid-2,72.2,5.02,16.7,1,5.9,12.7,BC,1,Good
Electronics & Communication,5,Integrated Circuits & Applications,After Mid-1,78.3,7.14,23.3,0,6.2,,BB,1,Very Good
Mechanical Engineering,4,Applied Thermodynamics,After Mid-2,88.3,6.06,15.9,2,3.8,4.9,DD,1,At Risk
Electronics & Communication,7,Project-1,Before Mid-1,94.6,8.64,28.5,0,,,AB,1,Excellent
Information Technology,3,Data Structures,Before Mid-1,81.5,6.83,20.9,1,,,BC,1,Good
Mechanical Engineering,5,Machine Design-1,After Mid-2,100.0,8.99,28.4,0,8.8,16.7,AA,1,Excellent
Electronics & Communication,2,Programming for Problem Solving,After Mid-1,76.7,6.79,13.4,0,7.3,,BB,1,Very Good
Electronics & Communication,3,Signals & Systems,Before Mid-1,90.7,7.5,25.5,1,,,BC,1,Good
Electrical Engineering,5,Electrical Power System-1,After Mid-2,96.5,7.58,26.6,0,6.3,15.1,BB,1,Very Good
Computer Engineering,1,Physics,Before Mid-1,91.7,8.16,24.1,0,,,BB,1,Very Good
Electronics & Communication,8,Radar & Navigational Aids,After Mid-2,80.6,5.98,22.7,0,6.0,12.6,BC,1,Good
Information Technology,8,Project-2,Before Mid-1,76.4,6.83,19.0,0,,,BB,1,Very Good
Electrical Engineering,7,High Voltage Engineering,After Mid-2,71.5,7.99,27.8,1,6.7,14.3,BB,1,Very Good
Computer Engineering,4,Principles of Economics & Management,After Mid-1,75.3,6.51,17.5,0,4.8,,BC,1,Good
Computer Engineering,8,Big Data Analytics,After Mid-2,73.0,6.56,23.9,0,6.0,11.7,BB,1,Very Good
Electronics & Communication,7,Project-1,After Mid-1,100.0,9.78,31.1,0,9.9,,AA,1,Excellent
Civil Engineering,2,Programming for Problem Solving,Before Mid-1,94.9,8.49,25.0,0,,,AA,1,Excellent
Electrical Engineering,4,Electrical Machines-1,After Mid-1,93.6,8.11,20.8,0,6.9,,BB,1,Very Good
Electrical Engineering,3,Electrical Circuit Analysis,After Mid-1,89.1,6.62,27.2,0,7.5,,BB,1,Very Good
Civil Engineering,1,Mathematics-1,Before Mid-1,86.0,6.41,13.5,3,,,CD,1,Average
Information Technology,8,Big Data Analytics,After Mid-2,82.4,7.77,19.0,0,4.4,8.8,BC,1,Good
Electronics & Communication,1,Basic Electronics,After Mid-1,93.5,8.27,25.4,0,7.0,,AB,1,Excellent
Computer Engineering,8,Artificial Intelligence,Before Mid-1,83.2,8.25,23.9,0,,,AB,1,Excellent
Mechanical Engineering,1,Basic Mechanical Engineering,After Mid-1,77.2,4.0,17.4,0,3.9,,CC,1,Average
Electrical Engineering,3,Electrical Circuit Analysis,After Mid-2,86.8,8.61,26.8,0,8.8,15.8,AB,1,Excellent
Information Technology,3,Data Structures,After Mid-1,86.2,7.2,19.0,0,6.2,,BC,1,Good
Information Technology,8,Distributed Systems,After Mid-2,85.6,7.59,21.0,0,5.6,11.2,BB,1,Very Good
Mechanical Engineering,7,Refrigeration & Air Conditioning,Before Mid-1,57.4,5.71,20.1,1,,,CC,1,Average
Mechanical Engineering,4,Fluid Mechanics & Hydraulic Machines,Before Mid-1,83.4,6.71,21.0,0,,,BC,1,Good
Computer Engineering,5,Analysis & Design of Algorithms,Before Mid-1,84.1,8.61,19.9,0,,,BB,1,Very Good
Information Technology,5,Software Engineering,After Mid-2,100.0,9.48,25.9,0,8.5,18.7,AA,1,Excellent
Electronics & Communication,2,Mathematics-2,After Mid-2,89.2,6.55,20.8,0,4.7,9.8,BC,1,Good
Mechanical Engineering,4,Mechanical Measurement & Metrology,After Mid-1,81.2,5.62,18.5,0,6.4,,BC,1,Good
Mechanical Engineering,2,Workshop Practices,After Mid-2,85.4,6.75,18.9,1,6.3,11.2,BC,1,Good
Computer Engineering,1,Environmental Sciences,After Mid-2,81.4,7.54,18.9,0,7.6,15.7,AB,1,Excellent
Civil Engineering,8,Construction Project Management,After Mid-1,88.7,7.85,24.0,0,7.2,,AB,1,Excellent
Electronics & Communication,5,Digital Communication,Before Mid-1,90.0,7.46,18.5,1,,,BC,1,Good
Computer Engineering,5,Analysis & Design of Algorithms,Before Mid-1,81.5,7.42,25.3,0,,,BB,1,Very Good
Computer Engineering,5,Computer Networks,After Mid-1,85.6,8.4,25.9,0,8.0,,AB,1,Excellent
Information Technology,7,Mobile Application Development,After Mid-1,78.8,7.71,22.2,1,6.5,,BC,1,Good
Computer Engineering,5,Analysis & Design of Algorithms,Before Mid-1,79.5,8.44,27.1,0,,,AB,1,Excellent
Electrical Engineering,5,Microprocessor & Microcontroller,Before Mid-1,65.3,5.07,15.2,0,,,CC,1,Average
Mechanical Engineering,3,Manufacturing Processes-1,Before Mid-1,80.8,6.57,22.3,1,,,BC,1,Good
Mechanical Engineering,1,Basic Mechanical Engineering,After Mid-1,86.3,6.4,21.4,0,7.9,,BB,1,Very Good
Information Technology,4,Object Oriented Programming - Java,Before Mid-1,82.8,8.47,26.1,0,,,AA,1,Excellent
Civil Engineering,3,Mechanics of Solids,Before Mid-1,71.5,4.99,18.2,2,,,DD,1,At Risk
Electronics & Communication,3,Signals & Systems,Before Mid-1,92.0,8.37,25.1,0,,,AB,1,Excellent
Mechanical Engineering,1,Physics,After Mid-1,75.2,6.59,19.3,2,4.9,,CC,1,Average
Electronics & Communication,5,Microcontroller & Applications,Before Mid-1,78.6,5.84,17.9,1,,,CC,1,Average
Electronics & Communication,7,Microwave Engineering,After Mid-2,69.3,6.29,20.2,3,4.2,6.9,FF,0,At Risk
Electronics & Communication,7,Satellite Communication,After Mid-1,75.5,5.27,12.3,0,5.8,,CC,1,Average
Information Technology,2,Programming for Problem Solving,Before Mid-1,87.0,7.49,21.4,0,,,BB,1,Very Good
Information Technology,4,Operating System Concepts,After Mid-2,78.0,6.09,16.3,0,5.7,12.0,BC,1,Good
Electrical Engineering,2,Basic Electronics,After Mid-2,78.9,7.02,26.6,1,5.8,10.4,BC,1,Good
Electronics & Communication,8,Radar & Navigational Aids,After Mid-1,81.9,6.47,25.9,0,7.1,,BB,1,Very Good
Mechanical Engineering,3,Engineering Thermodynamics,Before Mid-1,100.0,8.57,24.1,0,,,AB,1,Excellent
Computer Engineering,6,Theory of Computation,After Mid-2,77.4,8.63,25.7,0,8.3,15.1,AB,1,Excellent
Computer Engineering,1,Physics,After Mid-1,92.7,7.83,14.6,0,8.5,,BB,1,Very Good
Information Technology,6,Web Technology,After Mid-1,83.9,8.75,28.6,0,8.6,,AA,1,Excellent
Civil Engineering,4,Advanced Surveying,After Mid-1,92.1,7.44,20.4,0,6.1,,BB,1,Very Good
Computer Engineering,5,Computer Networks,After Mid-1,82.0,4.71,21.9,2,4.9,,CD,1,Average
Electronics & Communication,1,Physics,After Mid-1,85.6,6.9,13.0,0,6.6,,BC,1,Good
Electrical Engineering,2,Mathematics-2,After Mid-1,99.7,8.35,20.0,1,6.9,,BB,1,Very Good
Civil Engineering,2,Mathematics-2,After Mid-2,78.3,5.65,18.0,3,4.0,4.1,FF,0,At Risk
Computer Engineering,2,Mathematics-2,After Mid-2,71.6,4.76,16.1,4,3.2,6.2,FF,0,At Risk
Civil Engineering,3,Mechanics of Solids,Before Mid-1,80.1,5.7,27.8,0,,,CC,1,Average
Civil Engineering,8,Construction Project Management,After Mid-1,75.0,6.08,18.8,0,5.4,,BC,1,Good
Civil Engineering,7,Irrigation Engineering,After Mid-1,74.8,6.88,20.4,0,8.6,,AB,1,Excellent
Computer Engineering,4,Discrete Mathematics,Before Mid-1,80.3,6.5,29.6,0,,,BC,1,Good
Electrical Engineering,2,Programming for Problem Solving,Before Mid-1,96.5,7.52,23.1,0,,,AB,1,Excellent
Civil Engineering,1,Physics,After Mid-1,92.0,7.43,17.3,0,6.0,,BB,1,Very Good
Electronics & Communication,5,Microcontroller & Applications,After Mid-2,60.0,4.24,20.6,3,4.7,8.9,FF,0,At Risk
Information Technology,8,Project-2,After Mid-2,88.0,8.62,24.5,0,9.1,18.7,AA,1,Excellent
Civil Engineering,3,Surveying,After Mid-1,95.9,8.56,22.1,0,8.6,,AA,1,Excellent
Electrical Engineering,6,Power Electronics-1,After Mid-2,91.9,8.98,30.0,0,6.8,14.6,AB,1,Excellent
Computer Engineering,1,Mathematics-1,After Mid-2,80.9,6.1,16.5,0,5.9,10.5,BC,1,Good
Mechanical Engineering,7,Power Plant Engineering,After Mid-1,100.0,8.53,22.3,0,8.6,,AB,1,Excellent
Information Technology,7,Mobile Application Development,Before Mid-1,69.7,5.01,14.3,2,,,DD,1,At Risk
Computer Engineering,6,Web Technology,Before Mid-1,91.4,8.6,19.7,0,,,AB,1,Excellent
Computer Engineering,5,Cyber Security,Before Mid-1,90.5,7.11,29.3,0,,,AB,1,Excellent
